Timestamp,Source_IP,Destination_IP,Port,Protocol,Packet_Size,Duration,Attack_Type,Is_Attack,Packet_Loss,Latency,Throughput,Jitter,Authentication_Failure
2023-01-01 00:00:00,172.16.0.3,10.0.0.101,8002,UDP,783,69.6733377229071,DoS,0,4.073125280129586,103.38838430949869,87.03264938017499,47.66091816414746,0
2023-01-01 01:00:00,192.168.1.4,172.16.0.102,4127,TCP,1201,70.24439500856477,Data Injection,0,4.680815207754982,244.05418961746543,13.951387658419042,25.885128642509216,1
2023-01-01 02:00:00,192.168.1.1,192.168.1.100,1361,UDP,543,17.252221379774415,APT,0,2.5675893337088502,439.2479813984409,12.818456686797829,40.97345557626662,0
2023-01-01 03:00:00,172.16.0.3,192.168.1.100,8427,UDP,85,50.06126393245504,Normal,1,4.751396118057035,264.1003198253879,17.649662567061597,27.401669364188137,0
2023-01-01 04:00:00,172.16.0.3,192.168.1.100,358,UDP,1436,41.25461369390679,Malware,0,2.678444852280149,465.0053706646456,96.03060921335745,2.1351721704323534,1
2023-01-01 05:00:00,192.168.1.4,192.168.1.100,5915,TCP,746,87.06564393031148,DoS,0,1.9709524729995398,242.41465139481537,69.34761908935921,15.818912931969724,0
2023-01-01 06:00:00,192.168.1.1,192.168.1.103,2728,ICMP,969,63.17875022971581,APT,0,4.241015642764477,245.73409927123902,80.15701639281731,28.81992044077205,0
2023-01-01 07:00:00,192.168.1.1,192.168.1.100,1770,UDP,383,53.29715623495659,Data Injection,0,2.4649135522904455,60.75364746176541,39.82373507470203,47.534638899963106,0
2023-01-01 08:00:00,172.16.0.3,192.168.1.103,5624,TCP,189,11.627924753673845,Normal,0,2.3595125528226153,401.52546583195766,33.697641477745066,42.970604951586544,0
2023-01-01 09:00:00,10.0.0.2,192.168.1.103,2441,TCP,340,60.60322514340881,DoS,0,2.4515624470491417,124.23574082106418,23.52495227763868,11.494945147524497,0
2023-01-01 10:00:00,172.16.0.3,192.168.1.100,7139,ICMP,1291,11.808670177455319,Normal,0,4.233925009348727,449.9066321967852,48.11673802840966,11.083480517956259,0
2023-01-01 11:00:00,172.16.0.3,192.168.1.100,8921,UDP,257,33.786936899018635,Malware,0,4.15970770844026,455.5012859448677,55.22769048006344,10.138531058983647,0
2023-01-01 12:00:00,172.16.0.3,10.0.0.101,5339,UDP,759,14.369912284951754,Data Injection,1,2.017599962201056,471.7117458252007,63.214306880910264,46.13269492549491,0
2023-01-01 13:00:00,172.16.0.3,172.16.0.102,6629,ICMP,1373,69.23815733773445,Normal,1,1.666499299352625,260.5950140624419,25.786138549469584,42.64804103977586,0
2023-01-01 14:00:00,192.168.1.4,192.168.1.100,5407,ICMP,120,20.704586172231647,APT,0,2.4596401201956466,338.86979860703855,94.87054268220876,38.766683269422145,0
2023-01-01 15:00:00,192.168.1.1,10.0.0.101,4013,TCP,1390,39.2467513814838,Data Injection,0,2.863862548685545,389.4794241507701,17.058873970892872,19.697482199788958,0
2023-01-01 16:00:00,192.168.1.4,10.0.0.101,8700,TCP,1250,89.57791028411599,APT,0,1.1916860531399847,66.37629470658233,96.56875215916459,25.268597144508465,0
2023-01-01 17:00:00,192.168.1.4,172.16.0.102,8064,ICMP,82,20.511206701557136,Normal,0,3.969775423577953,300.8776403037511,1.5841266384996286,23.270154065278128,0
2023-01-01 18:00:00,192.168.1.4,192.168.1.103,8258,UDP,1457,50.829725889482035,Data Injection,0,2.4324138286621144,18.114652750352526,48.16445661250288,12.744565567212694,0
2023-01-01 19:00:00,172.16.0.3,192.168.1.100,4893,TCP,327,41.9852389504856,APT,0,1.670227742099798,249.2854756109742,33.40344702784463,25.300899502823473,0
2023-01-01 20:00:00,10.0.0.2,172.16.0.102,4826,TCP,857,1.9105917004684005,Malware,1,0.5341049648199531,78.26649812849348,44.96742905163206,1.6217777378524478,0
2023-01-01 21:00:00,192.168.1.1,192.168.1.100,8612,UDP,176,79.296535545924,Malware,0,1.1942258020180345,92.27854005508027,57.10939144018083,6.677337637523212,0
2023-01-01 22:00:00,10.0.0.2,10.0.0.101,5933,TCP,1414,6.997686040828513,Normal,0,4.7464058587799185,183.15873577960815,43.61535688546964,44.340820848830425,1
2023-01-01 23:00:00,192.168.1.4,10.0.0.101,7144,UDP,605,47.47807659559767,Data Injection,0,1.525498434097633,216.786146191535,41.54320034512934,37.60882037486802,0
2023-01-02 00:00:00,192.168.1.4,192.168.1.103,3177,UDP,710,56.1117616644011,DoS,0,0.8442964468351766,311.96303984156145,73.29906919978933,21.201133612048444,0
2023-01-02 01:00:00,10.0.0.2,10.0.0.101,410,UDP,642,62.87980301579725,Data Injection,0,2.303363958274966,38.13978080081932,68.61903988113782,25.905803077965473,0
2023-01-02 02:00:00,10.0.0.2,10.0.0.101,4450,ICMP,1152,68.89429976785677,Malware,1,1.5354387168012433,252.34218885748487,83.34380107538121,18.562944409402874,1
2023-01-02 03:00:00,10.0.0.2,172.16.0.102,8840,ICMP,1379,25.40191111391924,APT,0,0.17579625135597077,92.12993999629745,25.07090222582561,37.064915371317554,0
2023-01-02 04:00:00,192.168.1.4,192.168.1.100,7706,ICMP,88,1.0968797881790924,DoS,0,1.6157260863970864,287.4136123408392,60.99189812443096,39.23094024368077,0
2023-01-02 05:00:00,192.168.1.4,192.168.1.100,4252,UDP,64,72.3720218692557,Normal,0,2.720543119697343,319.06490151833054,58.56095906074611,38.18793099113764,0
2023-01-02 06:00:00,192.168.1.1,172.16.0.102,8027,UDP,974,53.61209427482311,DoS,0,2.7585618600998347,278.7979190198741,37.03680730618161,36.158325069239034,0
2023-01-02 07:00:00,192.168.1.1,192.168.1.103,1541,ICMP,204,83.62815855040415,Normal,0,1.7827946058844435,369.40945972867553,48.657148436077826,10.304766500770512,1
2023-01-02 08:00:00,192.168.1.4,192.168.1.100,9038,TCP,711,82.15669745377936,DoS,0,2.236513781263003,168.46901287620977,31.446836116242302,16.96470196409989,0
2023-01-02 09:00:00,10.0.0.2,10.0.0.101,1520,UDP,251,84.34828416200952,Normal,0,4.827589591173832,382.7881892249323,14.270255321936821,23.54528720568538,0
2023-01-02 10:00:00,10.0.0.2,192.168.1.100,6757,TCP,1215,48.560956531956066,Normal,1,1.8867423861515582,216.95077377238863,21.458740945207012,16.606570272240017,0
2023-01-02 11:00:00,192.168.1.1,10.0.0.101,3314,TCP,264,33.429476744102885,DoS,0,1.291134066299915,242.6080646629758,10.640813275479989,37.771515987900614,0
2023-01-02 12:00:00,192.168.1.4,192.168.1.103,5105,UDP,1214,79.17666443887786,DoS,0,1.2173352203338006,324.40296150327464,68.3386505614934,16.534740860072738,0
2023-01-02 13:00:00,192.168.1.1,172.16.0.102,2439,UDP,320,45.18428189162257,Normal,0,2.2888230635206708,10.160833615612756,66.10666657160424,6.997781130588324,0
2023-01-02 14:00:00,192.168.1.1,192.168.1.100,9146,TCP,610,18.42587542070311,Malware,0,3.79760074358472,327.3431164887039,95.0655765208293,20.012118557210375,0
2023-01-02 15:00:00,172.16.0.3,172.16.0.102,3062,TCP,257,85.51190455419129,DoS,0,1.029940920942366,309.67398938698557,72.9948735233594,48.99773019584078,0
2023-01-02 16:00:00,172.16.0.3,192.168.1.100,4517,ICMP,766,88.2677316895575,Data Injection,0,3.5464806357038405,155.61371125988668,5.299379291737531,11.371482505385437,0
2023-01-02 17:00:00,172.16.0.3,10.0.0.101,1486,ICMP,1191,46.684344638403,APT,0,0.10574911674708143,43.81134816484525,88.43609287550252,30.64671708126713,0
2023-01-02 18:00:00,10.0.0.2,172.16.0.102,3581,UDP,1352,7.662402758247768,Normal,0,2.09466488991973,46.37678950660753,86.281248778278,21.705355187001345,0
2023-01-02 19:00:00,192.168.1.4,192.168.1.100,634,ICMP,865,38.84382638270144,Normal,0,3.879325326013934,461.68864974562905,44.3877000451926,3.644125925701399,0
2023-01-02 20:00:00,192.168.1.4,10.0.0.101,5412,ICMP,1005,80.37341218031408,APT,1,1.693664778872157,344.95038129169274,58.627718747739365,24.445042639303168,0
2023-01-02 21:00:00,192.168.1.4,172.16.0.102,7713,ICMP,1471,90.18722545176824,Malware,0,2.818685507226997,64.42420427159945,97.61022541400463,35.13799999955079,0
2023-01-02 22:00:00,192.168.1.4,172.16.0.102,9394,ICMP,1347,20.426926975509826,APT,0,1.024896164129554,179.00486148514426,53.27720594843181,25.709676793808157,0
2023-01-02 23:00:00,172.16.0.3,192.168.1.100,3243,TCP,477,6.790663841324625,DoS,0,3.7099769556308617,296.6490139568966,90.54165065477137,43.6180925809544,0
2023-01-03 00:00:00,10.0.0.2,192.168.1.100,7158,UDP,1445,87.74731026797058,APT,1,0.2613955163437981,417.9502808402337,8.395571905237626,14.517957131213374,0
2023-01-03 01:00:00,10.0.0.2,192.168.1.100,2687,ICMP,1162,39.00155340398965,Normal,0,4.262713224377502,22.786803427791256,19.18608168399742,4.403833648067849,0
2023-01-03 02:00:00,172.16.0.3,10.0.0.101,8000,TCP,1442,54.221920330329574,APT,0,0.9909819321083407,119.07993260353442,44.13141884978766,46.834624021734506,0
2023-01-03 03:00:00,10.0.0.2,192.168.1.100,150,TCP,973,96.80977462387082,Data Injection,0,4.371990158541654,444.9847461573946,58.51720515289674,18.97199784145813,0
2023-01-03 04:00:00,172.16.0.3,172.16.0.102,3003,TCP,251,6.749816318630863,DoS,0,1.7626462065025867,5.573609541724426,81.64116240109374,28.862637017536304,1
2023-01-03 05:00:00,192.168.1.4,172.16.0.102,4298,ICMP,1377,64.86696894446435,APT,0,3.613417872372433,101.4981522941498,98.82738530280436,39.62095599389678,0
2023-01-03 06:00:00,172.16.0.3,192.168.1.100,7146,ICMP,108,7.5031317152292205,Normal,0,1.5961264889309423,479.55306381051,38.94626449776423,16.28325182739147,1
