Timestamp,Sensor_ID,Voltage (V),Current (A),Power (kW),Frequency (Hz),Power_Factor,Location,Anomaly_Label
2024-05-17 12:10:00,S4,226.0101992163745,5.6459766400423,1.276048305186957,49.94609775461656,0.9305342580947576,Zone1,0
2024-05-15 11:44:00,S4,222.43152687691853,6.563825260273093,1.460001674795831,50.02509616240714,0.9407452600911406,Zone4,0
2024-05-18 22:29:00,S1,216.6121949742636,6.642215519319862,1.4387848831319932,49.95532882500429,0.950015230211498,Zone5,0
2024-05-15 16:25:00,S4,228.9334580151097,7.091721519256913,1.6235323306836522,48.71539119387518,0.9602284023900618,Zone1,1
2024-05-15 08:51:00,S2,230.6679428065225,6.029206761681616,1.3907447204722738,48.3774551751171,0.9479079838130888,Zone3,1
2024-05-17 10:22:00,S4,233.2938344161419,2.5986579664988403,0.6062508813405684,50.16221653819651,0.95011826342333,Zone5,0
2024-05-15 15:15:00,S4,221.93057698919108,4.382771190240543,0.9726709390616874,50.24945978150672,0.9507184395141453,Zone5,0
2024-05-15 17:43:00,S5,223.8588423833065,6.863284812641122,1.53640699310477,50.00488050760676,0.9328826109472742,Zone5,0
2024-05-13 18:38:00,S5,220.86635880050176,4.661337690805713,1.0295326829077969,50.08744883016925,0.9805598511099048,Zone1,0
2024-05-16 03:42:00,S5,236.6305976673916,6.056456676069197,1.4331429630049175,49.92092842919144,0.9635077964581528,Zone2,0
2024-05-18 22:09:00,S3,231.7958041745205,5.421914274633646,1.256776979454018,52.00234619198836,0.9605928549459892,Zone5,0
2024-05-18 03:11:00,S3,232.9557911421089,3.791518369206231,0.8832561613282761,50.06032409368784,0.9650123160876456,Zone2,0
2024-05-17 07:00:00,S4,224.3255814829931,4.1742299189399095,0.9363865538099024,49.852089284130656,0.9845701941717402,Zone5,0
2024-05-16 03:06:00,S1,228.2917131802432,3.573467266096678,0.8157929641707307,50.04028244221869,0.9308626584343782,Zone4,0
2024-05-14 20:55:00,S1,229.04462038004937,3.619070459289361,0.8289286194765826,50.06370355382106,0.9753176793666246,Zone3,0
2024-05-14 17:49:00,S1,228.7344243291981,6.177634920848721,1.4130377673362835,51.858531152822586,0.552940053109579,Zone5,1
2024-05-13 00:41:00,S4,234.6279469851184,5.1569105230599614,1.209955328811512,49.92318508357078,0.958270680063268,Zone2,0
2024-05-16 16:12:00,S4,212.8372030925412,5.325534066618324,1.498209031252601,49.93089837141466,0.9566466806641052,Zone2,1
2024-05-19 03:00:00,S5,231.0851822276356,4.338324826385784,1.0025225830680344,49.95903610802621,0.9705475790622944,Zone4,0
2024-05-16 03:15:00,S3,226.0493084673229,5.242958855443214,1.1851672235955653,50.060968563621294,0.9720262467632924,Zone4,0
